english,japanese_view,japanese_romaji
accommodate,収容する,shuuyousuru
acknowledge,認める,mitomeru
acquisition,取得,shutoku
adjacent,隣接した,rinsetushita
administration,管理,kanri
agenda,議題,gidai
allocate,割り当てる,wariateru
amendment,修正,shuusei
anticipate,予測する,yosokusuru
applicant,応募者,oubosha
appointment,予約,yoyaku
approximately,およそ,oyoso
assessment,評価,hyouka
authorize,許可する,kyokasuru
beneficial,有益な,yuuekina
candidate,候補者,kouhosha
collaborate,協力する,kyouryokusuru
commute,通勤する,tsuukinsuru
compensation,報酬,houshuu
compliance,遵守,junshu
comprehensive,包括的な,houkatsutekina
confidential,機密の,kimituno
consecutive,連続した,renzokushita
consolidate,統合する,tougousuru
constraint,制約,seiyaku
consultation,相談,soudan
contingency,緊急事態,kinkyuujitai
contribute,貢献する,koukensuru
coordinate,調整する,chouseisuru
correspondence,通信,tsuushin
dedication,献身,kenshin
deficiency,不足,fusoku
delegate,委任する,ininsuru
deteriorate,悪化する,akkasuru
determine,決定する,ketteisuru
diligent,勤勉な,kinbenna
discontinue,中止する,chuushisuru
discretion,裁量,sairyou
disruption,混乱,konran
distinguish,区別する,kubetsusuru
diversify,多様化する,tayoukasuru
eligible,資格のある,shikakunoaru
emphasize,強調する,kyouchousuru
encounter,遭遇する,souguusuru
enhance,高める,takameru
ensure,確実にする,kakujitsunisuru
enthusiastic,熱心な,nesshinna
entrepreneur,起業家,kigyouka
equivalent,同等の,doutono
